Region,Destination Country,lat,lon
"68100, ALEXANDROUPOLI, ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ",GREECE,40.8479185,25.8866318
"54454, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"14341, ATTIKI, ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ",GREECE,38.0339657,23.7383452
"73134, CHANIA, ΧΑΝΙΑ",GREECE,35.5090927,24.0285501
"11143, ATTIKI, ΠΑΤΗΣΙΑ",GREECE,38.0231229,23.7362391
"60100, PIERIA GREECE, ΚΑΤΕΡΙΝΗ",GREECE,40.2497043,22.5472866
"31100, LEFKADA, ΛΕΥΚΑΔΑ",GREECE,38.830389,20.7080002
"84001, CYCLADES, ΙΟΣ",GREECE,36.723382,25.3021167
"69300, RODOPI GREECE, ΣΑΠΕΣ",GREECE,41.0267307,25.7013674
"15771, ATTIKI, ΖΩΓΡΑΦΟΣ",GREECE,37.9773043,23.7621822
"29100, ZAKYNTHOS, ΖΑΚΥΝΘΟΣ",GREECE,37.7691196,20.9046917
"63077, HALKIDIKI, ΚΑΣΣΑΝΔΡΕΙΑ",GREECE,40.0509417,23.4118188
"18863, PIRAEUS, ΠΕΡΑΜΑ",GREECE,37.9652229,23.5785872
"10442, ATTIKI, ΚΟΛΟΚΥΝΘΟΥ",GREECE,38.0047938,23.7017299
"18755, PIRAEUS, ΚΕΡΑΤΣΙΝΙ",GREECE,37.9534369,23.6212644
"63072, HALKIDIKI, ΣΥΚΕΑ",GREECE,39.9582379,24.0421975
"84003, CYCLADES, ΣΙΦΝΟΣ",GREECE,36.9675116,24.7152697
"63075, HALKIDIKI, ΙΕΡΙΣΣΟΣ",GREECE,40.3979096,23.8776231
"12243, ATTIKI, ΑΙΓΑΛΕΩ",GREECE,37.9982138,23.6730131
"16122, ATTIKI, ΚΑΙΣΑΡΙΑΝΗ",GREECE,37.9668919,23.7675156
"67100, XANTHI, ΞΑΝΘΗ",GREECE,41.1361868,24.886001
"19600, ATTIKI, ΜΑΝΔΡΑ",GREECE,38.0774397,23.4884157
"15351, ATTIKI, ΠΑΛΛΗΝΗ",GREECE,37.9999965,23.8753457
"17455, ATTIKI, ΑΛΙΜΟΣ",GREECE,37.9120682,23.7199119
